input,output,original
say covid-19 remain air eight hour everyon requir wear mask “everywhere.”,0,Says COVID-19 remains in the air for eight hours and that everyone is now required to wear masks “everywhere.”
resid india stay indoor nighttim covid-19 disinfect spray,0,Residents in India to stay indoors during nighttime COVID-19 disinfectant spraying
china develop covid-19 vaccin,0,China develops COVID-19 vaccine
"john hopkin univers publish ""excel summary"" avoid covid-19",0,"Johns Hopkins University published this ""excellent summary"" on avoiding COVID-19"
"financi georg soro own lab wuhan, china, covid-19 coronaviru diseas ""developed.""",0,"Financier George Soros owns the lab in Wuhan, China, where the COVID-19 coronavirus disease was ""developed."""
genuin graphic quot philippin vice presid leni roberdo covid-19 respons,0,Genuine graphic quoting Philippine vice president Leni Roberdo on COVID-19 response
kiko pangilinan call philippin govern exempt children total lockdown covid-19 emerg,0,Kiko Pangilinan called on the Philippine government to exempt children from total lockdown during COVID-19 emergency
photo show truck itali transport covid-19 corps,0,Photo shows trucks in Italy to transport COVID-19 corpses
consum alcohol beverag may help reduc risk infect covid-19,0,Consuming alcoholic beverages may help reduce the risk of infection of COVID-19
photo vaccin develop us scientist covid-19,0,Photo of a vaccine developed by US scientists for COVID-19
photo show 'cri presid italy' coffin italy' covid-19 victim,0,Photos show 'crying president of Italy' and coffins of Italy's COVID-19 victims
"philippines' social secur system sss give p20,000 member financi aid covid-19 outbreak",0,"Philippines' Social Security System or SSS will give P20,000 to each of its members as financial aid during COVID-19 outbreak"
"photo show militari draft maintain public order covid-19 outbreak usa, south korea, india, china, japan, vietnam, iran",0,"Photos show military was drafted to maintain public order during COVID-19 outbreak in USA, South Korea, India, China, Japan, Vietnam, and Iran"
assam complet lock due covid-19,0,Assam has been completely locked down due to Covid-19
video canada pm justin trudeau’ wife plead peopl take covid-19 serious,0,Video of Canada PM Justin Trudeau’s wife pleading people to take COVID-19 seriously
vaccin cure covid-19 readi,0,Vaccines to cure Covid-19 are ready
world health organ warn eat cabbag covid-19 pandem,0,World Health Organization warns against eating cabbage during COVID-19 pandemic
"video show overcrowd st mary’ hospital, london covid-19 patient lie floor corridor",0,"A video shows overcrowding in St Mary’s Hospital, London and Covid-19 patients lying on the floor in corridors"
"woman suffer covid-19, seen viral video sophi grégoir trudeau, wife canadian pm justin trudeau",0,"A woman suffering from COVID-19, seen in viral video is Sophie Grégoire Trudeau, wife of Canadian PM Justin Trudeau"
eat banana prevent covid-19 coronaviru diseas,0,Eating bananas is a preventative against the COVID-19 coronavirus disease
dolphin swan return itali waterway covid-19 lockdown,0,Dolphins and swans return to Italy waterways after Covid-19 lockdown
"imag show pm narendra modi meet kanika kapoor, latter infect covid-19 coronaviru",0,"Image shows PM Narendra Modi meeting Kanika Kapoor, while the latter was infected with COVID-19 coronavirus"
imag show dead bodi covid-19 patient itali,0,Image shows dead bodies of COVID-19 patients in Italy
justin trudeau' wife sophi trudeau film icu test posit covid-19,0,Justin Trudeau's wife Sophie Trudeau films herself from ICU after testing positive for Covid-19
video emot appeal covid-19 patient surat return london,0,Video of an emotional appeal by the COVID-19 patient in Surat who had returned from London
claim: medicin treatment new coronaviru (covid-19) found ghana,0,CLAIM: The medicine for the treatment of the new coronavirus (Covid-19) was found in Ghana
"“inform vienna’ laboratori studi covid-19 say vast major peopl die ibuprofen/advil system take it!!""",0,"“Information from Vienna’s laboratory studying COVID-19 say vast majority of people who died had ibuprofen/Advil in their system so do not take it!!"""
unhcr say refuge malaysia resist covid-19 test,0,UNHCR says refugees in Malaysia are resisting COVID-19 tests
pictur show sri lankan pilot test posit covid-19,0,Picture shows Sri Lankan pilot tested positive for COVID-19
meme replic nostradamu propheci foretel 2020 covid-19 coronaviru diseas pandem,0,A meme replicates a Nostradamus prophecy foretelling the 2020 COVID-19 coronavirus disease pandemic
"say impost hazmat suit go door door stockton, calif., say check resid fever covid-19, “will enter home physic attempt robbery.”",0,"Says imposters in hazmat suits are going door to door in Stockton, Calif., saying they are checking residents for fever or COVID-19, but they “will enter your home and physically attempt robbery.”"
indian govern distribut free face mask covid-19 pandem,0,Indian government distributing free face masks during COVID-19 pandemic
candian health author issu video covid-19 transmiss,0,Candian health authority issues video on COVID-19 transmission
tea cure allevi novel coronaviru (covid-19) infect,0,Tea can cure or alleviate novel coronavirus (COVID-19) infection
novel coronaviru transmit housefli,0,Novel coronavirus can be transmitted by houseflies
govern spray medicin night 10 pm kill covid-19,0,Government to spray medicine at night after 10 PM to kill the COVID-19
photo show coffin covid-19 fatal itali,0,Photo shows coffins of COVID-19 fatalities in Italy
"covid-19 start sore throat last 3-4 days. blend nasal fluid enter trachea lungs, caus pneumonia, take 5 6 days. pneumonia come high fever difficulti breathing. nasal congest make feel like you’..",1,"Covid-19 starts with a sore throat lasting 3-4 days. It then blends into a nasal fluid that enters the trachea and the lungs, causing pneumonia, which takes about 5 or 6 days. With pneumonia comes high fever and difficulty breathing. The nasal congestion makes you feel like you’.."
advisori issu singapore’ ministri health first symptom novel coronaviru covid-19,0,This is an advisory issued by Singapore’s Ministry of Health about the first symptoms of novel coronavirus or COVID-19
breath hot air hair dryer sauna prevent cure covid-19,0,Breathing hot air from a hair dryer or in a sauna can prevent or cure COVID-19
lockdown execut spain usa,0,How lockdown is executed in Spain or the USA
three maryland coronaviru patient fulli recov abl return everyday life,1,Three Maryland coronavirus patients fully recovered and are able to return to everyday life
number new case south korea declin,1,The number of new cases in South Korea is declining
appl reopen 42 china store,1,Apple has reopened all 42 China stores
china close last coronaviru hospital. enough new case support,1,China has closed down its last coronavirus hospital. Not enough new cases to support them
"103 year-old chines grandmoth made full recoveri covid-19 treat 6 day wuhan, china",1,"A 103 year-old Chinese grandmother has made a full recovery from Covid-19 after being treated for 6 days in Wuhan, China"
"itali hit hard, expert say, oldest popul europ",1,"Italy is hit hard, experts say, only because they have the oldest population in Europe"
scientist israel like announc develop coronaviru vaccin,1,Scientists in Israel are likely to announce the development of a coronavirus vaccine
"tulsa county' first posit covid-19 case recovered. individu two neg tests, indic recoveri",1,"Tulsa County's first positive Covid-19 case has recovered. This individual has had two negative tests, which is the indicator of recovery"
network canadian scientist make excel progress covid-19 research,1,A network of Canadian scientists are making excellent progress in Covid-19 research
"cleveland clinic develop covid-19 test give result hours, day",0,"Cleveland Clinic developed a Covid-19 test that gives results in hours, not days"
san diego biotech compani develop covid-19 vaccin collabor duke univers nation univers singapor,1,A San Diego biotech company is developing a Covid-19 vaccine in collaboration with Duke University and National University of Singapore
press releas pmo india restrict movement due covid-19 outbreak,0,Press Release By PMO India On Restriction Of Movement Due To COVID-19 Outbreak
"""georg soro own wuxi pharma lab locat wuhan, china covid-19 develop conveni broke out.""",0,"""George Soros owns the WuXi PHARMA LAB located in Wuhan, China where COVID-19 was developed and conveniently Broke Out."""
genuin philippin depart health advisori state clinic turn away peopl show covid-19 symptom,0,Genuine Philippine Department of Health advisory states clinics will turn away people showing COVID-19 symptoms
“peopl go door door colorado spring state covid test rob people!!!!”,0,“People are going door to door in Colorado Springs stating they are COVID testing so they can rob people!!!!”
photo show peopl india bath cow dung prevent covid-19 infect,0,Photos show people in India bathing in cow dung to prevent COVID-19 infection
call phone number back babi formula product receiv free case covid-19 pandem,0,You can call the phone number on the back of a baby formula product to receive a free case during COVID-19 pandemic
video show covid-19 patient struggl breath hospit india,0,Video shows COVID-19 patient struggling to breathe at a hospital in India
bbmp (bruhat bengaluru mahanagara palike) spray medicin air 10 pm tonight order kill covid-19,0,BBMP (Bruhat Bengaluru Mahanagara Palike) will be spraying medicine in the air after 10 PM tonight in order to kill COVID-19
"“it groundless accusations. fact, russophob obsess could expect fade current situation, doesn’t seem fading,""",0,"“It is about some groundless accusations. In fact, this Russophobic obsession could be expected to fade under the current situation, but it doesn’t seem to be fading,"""
"press releas movement restrict covid-19 outbreak nation secur council, pmo (india)",0,"Press Release on movement restriction for COVID-19 outbreak by National Security Council, PMO (India)"
headlin claim japan 'finally' produc drug vs covid-19,0,Headline claims Japan 'finally' produces drug vs COVID-19
claim: inform messag covid-19 social media belong unicef,0,CLAIM: The informative message about the Covid-19 on social media belongs to UNICEF
"refer ongo covid-19 pandemic, u.s. presid donald trump said, ""peopl die today never die before.""",0,"Referring to the ongoing COVID-19 pandemic, U.S. President Donald Trump said, ""People are dying today that have never died before."""
list document u.s. presid donald trump' variou statement spread covid-19 coronaviru diseas,1,A list documents U.S. President Donald Trump's various statements about the spread of COVID-19 coronavirus disease
"accord univers queensland (australia) scientists, banana effect defenc covid-19",0,"According to University of Queensland (Australia) scientists, bananas are an effective defence against the COVID-19"
genuin news report say australian scientist found banana prevent covid-19,0,Genuine news report says Australian scientists found bananas prevent COVID-19
"""covid-19 start eat animals.""",0,"""COVID-19 started because we eat animals."""
"“presid trump, covid-19 coronavirus: u.s. case 1,329; u.s. deaths, 38; panic level: mass hysteria. presid obama, h1n1 virus: u.s. cases, 60.8 million; u.s. deaths, 12,469; panic level: total chill. see media manipul life.”",0,"“President Trump, COVID-19 coronavirus: U.S. cases 1,329; U.S. deaths, 38; panic level: mass hysteria. President Obama, H1N1 virus: U.S. cases, 60.8 million; U.S. deaths, 12,469; panic level: totally chill. Do you all see how the media can manipulate your life.”"
"“all us citizen entitl $700 usd per week stay home avoid spread covid-19 novel coronavirus, start march 17.”",0,"“All US citizens are entitled to $700 USD per week to stay at home to avoid the spread of COVID-19 novel coronavirus, starting from March 17.”"
"covid-19 wors outbreak occur “everi elect year.""",0,"COVID-19 is no worse than other outbreaks that have occurred in “every election year."""
"israel confirm case novel coronavirus, covid-19",0,"Israel has no confirmed cases of the novel coronavirus, COVID-19"
"facebook post march 10, 2020 claim drink water regularli kill covid-19",0,"A Facebook post from March 10, 2020 claims that drinking water regularly will kill COVID-19"
zimbabw report first posit covid-19 test march 16,0,Zimbabwe reported its first positive COVID-19 test on March 16
coronaviru patient zero sex bat,0,Coronavirus patient zero had sex with bats
"unit state ""refused"" covid-19 diagnost test offer world health organ",0,"The United States ""refused"" COVID-19 diagnostic tests offered by the World Health Organization"
amazon announc suspend deliveri except medic suppli covid-19 pandem,0,Amazon announced that it was suspending all deliveries except for medical supplies during the COVID-19 pandemic
"korean drama 'mi secret, terrius' predict coronaviru outbreak",0,"Korean drama 'My Secret, Terrius' predicted coronavirus outbreak"
inhal steam sea salt orang peel prevent coronaviru infect,0,Inhaling the steam of sea salt and orange peelings can prevent coronavirus infection
video show policemen arrest patient covid-19 punjab,0,Video shows policemen arrested patients of COVID-19 in Punjab
photograph show store shelv strip foodstuff except vegan product covid-19 pandem,0,A photograph shows store shelves stripped of all foodstuffs except for vegan products during the COVID-19 pandemic
"india’ minist state ayush shripad naik held press confer claim princ charl follow rule ayurveda, due recov soon",0,"India’s Minister of State for AYUSH Shripad Naik held a press conference claiming that Prince Charles followed the rules of Ayurveda, due to which he is recovering so soon"
ministri health block respir seat produc spain,0,Ministry of Health blocked the respirators that Seat was producing in Spain
govern media hide death coffin park spain,0,Government and media hides death and coffins in a parking in Spain
video conress leader rahul priyanka gandhi break coronaviru lockdown step,0,This is the video of Conress leaders Rahul and Priyanka Gandhi breaking coronavirus lockdown by stepping out
news covid-19 share seek government’ permiss,0,News about COVID-19 can only be shared after seeking the government’s permission
decre allow euthanisia depend senior home pass franc,0,A decree that allows euthanisia in dependant senior homes has been passed in France
"mostli dr. charl lieber, harvard professor, arrest creat coronaviru sell china",0,"Mostly Dr. Charles Lieber, a Harvard professor, was arrested for creating coronavirus and selling it to China"
mostli brazilian observ indian prime minist narendra modi’ “light out” call,0,Mostly Brazilians observed Indian Prime Minister Narendra Modi’s “lights out” call
messag claim need steril product hair dryer,0,A message claims you need to sterilize products with a hair dryer
mostli releas “protocol procedures” lockdown period fight covid-19,0,Mostly WHO has released “protocols and procedures” of lockdown periods to fight Covid-19
world health organ prescrib lockdown strategi tackl covid-19 india follow,0,The World Health Organization has prescribed a lockdown strategy to tackle COVID-19 which India is following
amid covid19 lockdown food distribut indian state tamil nadu,0,Amid COVID19 Lockdown Food being distributed in Indian State of Tamil Nadu
"video confront drug user “crackland”, run part central são paulo, municip guard. caption, state happen citi lockdown",0,"A video of a confrontation between drug users in “crackland”, a run down part of central São Paulo, and municipal guard. In the caption, it is stated that this is what is happening while the city is lockdown"
two whatsapp audio file claim gang roughli 30 drug addict loot shop terror worker central são paulo covid-19 lockdown,0,Two WhatsApp audio files claim that gangs of roughly 30 drug addicts are looting shops and terrorizing workers in central São Paulo during the COVID-19 lockdown
"pictur queue bom prato (a chain state run popular restaur offer low cost meal poor peopl são paulo). caption state joão dória, são paulo governor, open restaur allow agglomeration, while, time, forbad regular restaur open",0,"A picture of a queue in a Bom Prato (a chain of state run popular restaurants that offers low cost meals to poor people in São Paulo). The caption states that João Dória, São Paulo governor, opened the restaurants and allowed the agglomeration, while, at the same time, forbade regular restaurant to open"
video share variou social media platform whatsapp group person allegedli infect covid-19 seen lie unconsci ground shake violent,0,A video is being shared on various social media platforms and in WhatsApp groups in which a person allegedly infected with COVID-19 can be seen lying unconscious on the ground and shaking violently
whatsapp forward claim call record indian government.,0,A Whatsapp forward claiming all calls will be recorded by the Indian government.
imag show indian polit parti (dmk) worker demonstr go corona back balloon,0,Image showing Indian Political party (DMK) workers demonstrating with Go Corona Back balloon
video man commit suicid us due covid-19,0,Video of a man who committed suicide in US due to COVID-19
misplac video show dead bodi taken away convoy car hospit iran,0,misplaced A video that shows the dead bodies being taken away in a convoy of cars is from a hospital in Iran
muslim youth spread covid-19 lick plate nizzamuddin markaz india,0,Muslim youth is spreading COVID-19 by licking plates in Nizzamuddin Markaz in India
viral screenshot stori allegedli publish bbc claim ghana record first confirm coronaviru case,0,A viral screenshot of a story allegedly published by the BBC claiming Ghana has recorded its first confirmed coronavirus case
homemad mask prevent spread coronaviru,0,Homemade masks prevent the spread of coronavirus
"video food packet deposit street view million time facebook, twitter youtub alongsid claim show food donat peopl turkey novel coronaviru lockdown",0,"A video of food packets deposited on a street has been viewed millions of times on Facebook, Twitter and YouTube alongside a claim it shows food donations for people in Turkey during a novel coronavirus lockdown"
"photo sri lankan militari hospit share thousand time multipl facebook post alongsid claim reserv exclus use “vips” test posit covid-19, diseas caus novel coronaviru",0,"A photo of a Sri Lankan military hospital has been shared thousands of times in multiple Facebook posts alongside a claim that it has been reserved exclusively for the use of “VIPs” who test positive for COVID-19, the disease caused by the novel coronavirus"
"photo man woman embrac share hundr time facebook twitter alongsid claim show two italian doctor die novel coronavirus, covid-19, contract diseas patient treat",0,"A photo of a man and woman embracing has been shared hundreds of times on Facebook and Twitter alongside a claim that it shows two Italian doctors who died of a novel coronavirus, COVID-19, after contracting the disease from the patients they treated"
claim 500 bodi bag deliv ice skate rink outsid australian citi adelaid share wide facebook novel coronaviru pandem,0,A claim that 500 body bags were delivered to an ice skating rink outside the Australian city of Adelaide has been shared widely on Facebook during the novel coronavirus pandemic
"mariano rajoy, esperanza aguirr christin lagard said pension die world would save money",0,"Mariano Rajoy, Esperanza Aguirre or Christine Lagarde have said that if pensioners died the world would save money"
video view hundr time multipl social media post alongsid claim show chines muslim perform commun friday prayer mosqu despit novel coronaviru pandem,0,A video has been viewed hundreds of times in multiple social media posts alongside a claim it shows Chinese Muslims performing a communal Friday prayer in a mosque despite the novel coronavirus pandemic
spanish hospit inject mm covid-19 patient cure,0,Spanish hospitals are injecting MMS to COVID-19 patients to cure them
"everi click italian song rinascerò rinascerai, youtub donat money hospit bergamo",0,"For every click on the Italian song Rinascerò rinascerai, YouTube donates money to a hospital in Bergamo"
sanytol brand send email give away disinfect wipe,0,The Sanytol brand is sending an email to give away disinfecting wipes
video show truck drop bodi cover plastic ditch claim situat itali right,0,A video shows a truck dropping bodies covered with plastic into a ditch and claiming that this is the situation in Italy right now
whatsapp messag offer food famili spanish chariti caritá donat,0,A Whatsapp message offering food for families that the Spanish charity Caritás will donate
"post social media claim us patent novel coronaviru european one vaccine, cite specif patent number",0,"Posts on social media claim there is a US patent on the novel coronavirus and a European one for a vaccine, citing specific patent numbers"
"5,000 kilo mask deliv zaragoza custom close 3:00 p.m",0,"5,000 kilos of masks have not been delivered in Zaragoza because customs closes at 3:00 p.m"
"facebook post share thousand time recommend variou practic prevent covid-19, includ gargl salt water, drink tea avoid ice cream",0,"Facebook posts shared thousands of times recommend various practices to prevent COVID-19, including gargling salt water, drinking tea and avoiding ice cream"
"post share 20,000 time facebook featur photo cri child two other show woman man hospit beds, claim boy’ parent infect novel coronaviru",0,"Posts shared more than 20,000 times on Facebook feature a photo of a crying child and two others showing a woman and a man in hospital beds, claiming that the boy’s parents are infected with the novel coronavirus"
"trupti desai, well known social activist india, arrest illeg buy liquor covid19 lockdown",0,"Trupti Desai, a well known social activist from India, was arrested for illegally buying liquor during the Covid19 lockdown"
"pictur sao paulo graveyard, prepar secretli covid 19 victim brazil govern",0,"Picture of Sao Paulo graveyard, being prepared secretly for Covid 19 victims by Brazil government"
"viral video showcas emerg treatment covid-19 patient maharasthra, indian state. video share name differ citi maharashtra",0,"A viral video showcasing an emergency treatment of a COVID-19 patient in Maharasthra, an Indian State. The video is shared in the names of different cities of Maharashtra"
guatemala secretari economi share video nyt prais manag guatemalan govern covid-19 crisi,0,Guatemala Secretary of Economy shared a video where the NYT praises the management of Guatemalan Governement during this COVID-19 crisis
indian home ministri declar post covid-19 whatsapp group punish offenc,0,Indian Home ministry declares posting about COVID-19 on WhatsApp groups a punishable offence
"imag pile money scatter street text say “italian peopl throw money street remind money can’t buy everything, exemplifi covid-19 pandemic”",0,"Image of piles of money scattered on the street and a text saying that “Italian people are throwing money on the streets as a reminder that money can’t buy everything, as exemplified by the COVID-19 pandemic”"
businessman brazil kill fire 223 employe due current crisi,0,A businessman from Brazil killed himself after firing 223 employees due to the current crisis
censorship use chloroquin treatment,0,Is there a censorship against the use of chloroquine as a treatment
video kid itali yell star assum dead mother,0,Video of kids from Italy yelling at stars assuming them to be their dead mother
video al-aqsa mosqu israel allow photographi insid,0,Video of Al-Aqsa mosque after Israel allows photography inside it
post anyth coronaviru punish offenc disast manag act implement,0,Posting anything on coronavirus will be a punishable offence because Disaster Management Act has been implemented
chew betel nut prevent covid-19 infect,0,Chewing betel nut can prevent covid-19 infection
imag herd deer sit street interpret differ locat sri lanka india,0,Image of herd of deer sitting on a street interpreted as different locations in Sri Lanka and India
"china built hospit 1 thousand peopl 10 day everyon cheered, brazilian armi built field hospit 2 thousand covid-19 patient 48 hours, nobodi care",0,"While China built a hospital for 1 thousand people in 10 days and everyone cheered, the Brazilian Army built field hospitals for 2 thousand COVID-19 patients in only 48 hours, and nobody cared"
unit state “recruiting” doctor confront covid-19,0,The United States are “recruiting” doctors to confront COVID-19
"disast manag act 2005 go implement india, accord citizen allow post updat share forward relat covid-19",0,"The Disaster Management Act 2005 is going to be implemented in India, according to which no citizen is allowed to post any update or share any forward related to COVID-19"
alleg resign ministri health costa rica,0,Alleged resignation of the ministry of health in Costa Rica
rai tv news report 2015. prove sars-cov-2 made chines laboratori,0,RAI TV news report from 2015. proves SARS-CoV-2 was made in a Chinese laboratory
video empti hospit proof pandem real,0,Video of empty hospitals is proof that the pandemic is not real
peopl got flu shot greater risk covid-19,0,People who got a flu shot are at a greater risk from Covid-19
"partli sneez spread droplet far 8 meters, droplet stay suspend air 24 hours. veloc sneez 35 meter per second",0,"partly Sneezing spreads droplets as far as 8 meters, and these droplets can stay suspended in the air for up to 24 hours. The velocity of sneezing is up to 35 meters per second"
muammar gaddafi predict “they” creat virus sell us cure,0,Muammar Gaddafi predicted “they” will create viruses and sell us the cures
"video say italian elderli 65 taken custodi ; spanish elderli ask leav home, violat sent concentr camp",0,"The video says that Italian elderly over 65 are taken into custody ; Spanish elderly are asked not to leave home, and violators will be sent to a concentration camp"
covid-19 pandem use excus put microchip babi,0,Covid-19 pandemic is being used as an excuse to put microchips into babies
peopl older 60 given medic help itali anymor,0,People older than 60 not given medical help in Italy anymore
christin lagard admit someth must done old peopl live long,0,Christine Lagarde admits that something must be done about old people living for too long
5g caus coronaviru pandem,0,5G is the cause of the coronavirus pandemic
covid-19 harm common cold,0,Covid-19 is no more harmful than the common cold
covid-19 longer consid danger diseas uk,0,Covid-19 no longer considered a dangerous disease in the UK
costa rica peak stage viru,0,Costa Rica is at the peak stage of the virus
trucker assur video transport materi franc arriv spain govern pay,0,A trucker assures in a video that he transports material to France and that it does not arrive in Spain because the Government does not pay for it
putin press confer gave peopl choic 15 day isol 5 year prison,0,Putin had a press conference and gave people a choice between 15 days isolation and 5 years in prison
govern get test detect covid-19 compani genomica run sister former opposit minist,0,The Government is not getting the test to detect COVID-19 from the company Genomica because it is run by the sister of a former opposition minister
croatia put “total quarantine” due secret deal author red cross,0,Croatia to be put in “total quarantine” due to secret deal between authorities and Red Cross
iranian child celebr anahita sufferenig covid-19,0,Iranian child celebrity Anahita is sufferenig from COVID-19
castilla la-mancha prohibit use adapt dive mask patient covid-19,0,Castilla La-Mancha prohibits the use of adapted diving masks in patients with COVID-19
new born babi suffer birth defect predict use turmer cure coronaviru india,0,A new born baby suffering from birth defects predicted that using Turmeric can cure Coronavirus in India
home ministri india issu order share news relat coronaviru punish offens act,0,Home Ministry of India have issued an order that sharing of any news related to Coronavirus is an punishable offense under the IT Act
viral messag claim disinfect conduct usag helicopt poland,0,Viral message claiming that disinfection will be conducted with the usage of helicopters in Poland
arbido miracl cure covid-19,0,Arbido is a miracle cure for Covid-19
old undocu man “doe rememb anything” hospit “la paz hospital”,0,There is an old undocumented man that “does not remember anything” hospitalized in the “La Paz Hospital”
antibiot invent croatia cure coronaviru,0,Antibiotic invented in Croatia cures coronavirus
"father pablo iglesias, vice-presid spain, hospit clinic hospit salamanca, (the photo 2016)",0,"The father of Pablo Iglesias, vice-president of Spain, is hospitalized at the Clinical Hospital of Salamanca, (the photo is from 2016)"
commun citizen record govern franc,0,All communications between citizens will now be recorded by the government in France
pm modi announc internet suspens due viral fake news relat covid-19,0,PM Modi announced internet suspension due to viral fake news related to COVID-19
un give humanitarian aid coronaviru emerg,0,UN is giving humanitarian aid in coronavirus emergency
rub mustard oil nostril prevent coronaviru,0,Rubbing mustard oil on your nostrils can prevent Coronavirus
italian prime minist giusepp cont broke amid covid19 death countri,0,Italian Prime Minister Giuseppe Conte broke down amid Covid19 deaths in his country
spray boill water elimin coronaviru,0,Spraying with boilling water eliminates coronavirus
"report coronaviru last upto 8 hour cabbag thus, cabbag consumpt restrict",0,"WHO reported that Coronavirus lasts upto 8 hours on cabbages thus, cabbage consumption should be restricted"
"indian armi built 1,000-bed hospit rajasthan eight day treatment covid-19",0,"Indian Army has built a 1,000-bed hospital in Rajasthan in eight days for the treatment of COVID-19"
photo deer ooty-coimbator road current lockdown (covid-19),0,Photo of Deer on Ooty-Coimbatore road during the current lockdown (COVID-19)
video polic strictli implement lockdown spain,0,Video of Police strictly implementing lockdown in Spain
pm modi 2nd april ’20 announc extens nationwid lockdown till 4 may 2020,0,PM Modi on 2nd April ’20 announced extension of nationwide lockdown till 4 May 2020
“mainstream media” use photo 2017 movi imag italy’ coronaviru morgu,0,“Mainstream media” used photo from 2017 movie as an image from Italy’s coronavirus morgue
governor across u.s. announc current school year repeat due coronaviru school close,0,Governors across U.S. are announcing that the current school year will be repeated due to coronavirus school closings
video man commit suicid jump hotel itali entir famili die due coronaviru,0,A video of a man committing suicide by jumping from a hotel in Italy as his entire family died due to coronavirus
execut order restrict worship south korea prevent epidem religi oppress,0,The executive order to restrict worship in South Korea for prevention of epidemics is religious oppression
video muslim gather road despit curfew curb spread coronaviru,0,Video of Muslims gathered on roads despite the curfew to curb the spread of Coronavirus
india tv telecast news bollywood actor shahrukh khan donat 450 million (45 crore) rupe pakistan oil tanker blast victim,0,India TV telecasted news that Bollywood Actor Shahrukh Khan donated 450 million (45 Crore) Rupees to Pakistan Oil tanker blast victims
peopl itali throw money street felt money couldn’t save covid-19,0,People of Italy throwing money on the streets as they felt that the money couldn’t save them from COVID-19
possibl self-diagnosi hold breath 10 second,0,It is possible to self-diagnosis by holding breath for 10 second
flight charter korean peopl korean govern serv chines peopl,0,The flight which was chartered for Korean people by the Korean government only served Chinese people
person faint subway station covid-19,0,Person who fainted at a subway station has Covid-19
way forbid religi gatehr temporarili south korea prevent viru spread,0,There is no way to forbid religious gatehrings temporarily in South Korea to prevent the virus from spreading
crackdown drunken drive stop due risk covid-19 transmiss,0,Crackdown on drunken driving stopped due to risk of Covid-19 transmission
covid-19 test kit korean compani deem suspici u.s. congress,0,The covid-19 test kits from a Korean company are deemed suspicious by U.S. Congress
ministri economi financ south korea pharmaceut compani secret meet,0,Ministry of Economy and Finance in South Korea and pharmaceutical companies had a secret meeting
vitamin c cure covid-19,0,Vitamin C can cure covid-19
quarantin person fled facil daegu south korea,0,Quarantined person fled from a facility in Daegu south Korea
korean cruiseship ‘diamond princess’ cannot brought back,0,Koreans who were on the cruiseship ‘Diamond Princess’ cannot be brought back
video person infect coronaviru comit suicid new york,0,Video of a person infected with coronavirus comitting suicide in New York
photo kanika kapoor meet princ charl recent visit unit kingdom. princ charl test posit coronaviru meet,0,Photo of Kanika Kapoor meeting Prince Charles during her recent visit to United Kingdom. Prince Charles was tested positive for coronavirus just after the meet
peopl wuhan share laundri room although quarantin,0,People from Wuhan share a laundry room although they are in quarantine
south korean presidenti blue hous forbid term ‘wuhan pneumonia’,0,South Korean presidential Blue House forbids the term ‘Wuhan pneumonia’
video view thousand time multipl post facebook claim show bodi novel coronaviru victim thrown ditch itali,0,A video has been viewed thousands of times in multiple posts on Facebook which claim it shows bodies of novel coronavirus victims being thrown into a ditch in Italy
multipl articl wide share facebook claim 59 church member die drink household disinfect pastor said would prevent coronaviru infect,0,Multiple articles widely shared on Facebook claim that 59 church members died after drinking household disinfectant which their pastor said would prevent coronavirus infections
"post share multipl time facebook march 2020 claim china japan “free” novel coronavirus, caus diseas covid-19",0,"A post has been shared multiple times on Facebook in March 2020 that claims China and Japan are “free” of the novel coronavirus, which causes the disease COVID-19"
"claim trolley collector supermarket australian state new south wale test posit novel coronavirus, covid-19, march 2020 share hundr time multipl post facebook",0,"A claim that a trolley collector at a supermarket in the Australian state of New South Wales tested positive for the novel coronavirus, COVID-19, in March 2020 has been shared hundreds of times in multiple posts on Facebook"
post said coronaviru “wa releas chines communist party” mixtur hiv tuberculosi,0,A post that said coronavirus “was released by the Chinese Communist Party” and that is a mixture of HIV and tuberculosis
messag offer food assist peopl risk social exclus spain,0,A message that offers food assistance to people at risk of social exclusion in Spain
photo share hundr time multipl facebook post alongsid claim show hospit car park singapor convert ward novel coronaviru pandem,0,A photo has been shared hundreds of times in multiple Facebook posts alongside a claim that it shows a hospital car park in Singapore which will be converted into wards during the novel coronavirus pandemic
novel coronaviru came south korea yellow sand storm,0,Novel coronavirus came to South Korea through yellow sand storm
"photo group peopl hold banner bear chines malaysian flag share thousand time facebook twitter alongsid claim show chines doctor arriv malaysia combat novel coronavirus, covid-19",0,"A photo of a group of people holding a banner that bears the Chinese and Malaysian flags has been shared thousands of times on Facebook and Twitter alongside a claim it shows Chinese doctors arriving in Malaysia to combat the novel coronavirus, COVID-19"
"seven photo share repeatedli multipl post facebook twitter, alongsid claim show veget donat disadvantag peopl curfew prompt novel coronaviru pandem sri lanka",0,"Seven photos have been shared repeatedly in multiple posts on Facebook and Twitter, alongside a claim that they show vegetables donated to disadvantaged people during a curfew prompted by the novel coronavirus pandemic in Sri Lanka"
"claim circul multipl facebook, twitter youtub “new virus” name hantaviru emerg china march 2020. post view hundr thousand time world battl spread novel coronavirus, caus diseas covid-19",0,"A claim has circulated in multiple Facebook, Twitter and YouTube that a “new virus” named hantavirus has emerged in China in March 2020. The posts were viewed hundreds of thousands of times as the world battled the spread of the novel coronavirus, which causes the disease COVID-19"
